Company,Year,COVID,ROA,ROE,Revenue,Total Assets,PAT,Equity
HDC,2021,1,0.0824,0.2097,1352323,3776882,311249,1483977
HDC,2022,0,0.0951,0.2257,1298031,4421841,420619,1863772
HDC,2023,0,0.0281,0.0692,665457,4698875,131972,1908013
HDC,2024,0,0.0137,0.0294,546228,4877377,66905,2272109
HDC,2025,0,0.1054,0.2183,456498,6082167,641228,2936750
HHS,2015,0,0.1637,0.1742,3507998,2937879,481001,2761169
HHS,2016,0,0.0439,0.0452,1576843,3152397,138515,3067125
HHS,2017,0,0.0272,0.0286,1234787,3378239,91989,3220194
HHS,2018,0,0.0524,0.0563,1151745,3505642,183558,3260230
HHS,2019,0,0.0525,0.0554,590396,3627724,190279,3432064
HHS,2020,1,0.0720,0.0759,605482,3946663,284192,3742103
HHS,2021,1,0.0546,0.0590,516363,4265257,232770,3942043
HHS,2022,0,0.0494,0.0533,385295,4492591,221997,4166137
HHS,2023,0,0.0745,0.0773,366575,4673591,348148,4501281
HHS,2024,0,0.0670,0.0758,571225,5476785,367193,4846403
HHS,2025,0,0.1517,0.2160,892760,23428211,3553215,16452359
IDJ,2015,0,0.0001,0.0001,13612,277339,41,274273
IDJ,2016,0,-0.0229,-0.0237,25568,276851,-6329,267376
IDJ,2017,0,0.0094,0.0112,301816,321328,3017,270220
IDJ,2018,0,0.1182,0.1606,245133,437219,51693,321840
IDJ,2019,0,0.0210,0.0825,378185,1389695,29155,353555
IDJ,2020,1,0.0321,0.1954,410721,2455335,78759,403088
IDJ,2021,1,0.0587,0.2052,893403,3455629,202807,988154
IDJ,2022,0,0.0312,0.0759,816873,4729214,147495,1944309
IDJ,2023,0,0.0234,0.0533,862044,4684044,109395,2053718
IDJ,2024,0,0.0227,0.0456,717532,4210442,95605,2097265
IDJ,2025,0,-0.0313,-0.0523,1058640,3330305,-104196,1993078
NRC,2015,0,,,,,,
NRC,2016,0,0.0582,0.0590,2379,32468,1889,31997
NRC,2017,0,0.1243,0.2058,90116,260060,32329,157112
NRC,2018,0,0.1399,0.3433,176745,502612,70335,204876
NRC,2019,0,0.1012,0.2058,532656,855842,86599,420742
NRC,2020,1,0.0808,0.1301,207249,768639,62127,477489
NRC,2021,1,0.0977,0.1709,444037,2022856,197610,1155974
NRC,2022,0,-0.0318,-0.0566,194245,2276809,-72513,1282005
NRC,2023,0,0.0057,0.0092,4629,2083205,11929,1293904
NRC,2024,0,-0.0711,-0.1187,5149,1929368,-137237,1155974
NRC,2025,0,0.0045,0.0076,91608,1970303,8818,1167502
SCG,2015,0,,,,,,
SCG,1026,0,,,,,,
SCG,2017,0,,,,,,
SCG,2018,0,,,,,,
SCG,2019,0,0.0134,0.0510,128303,401885,5377,105377
SCG,2020,1,0.0671,0.1514,1420346,1344048,90175,595552
SCG,2021,1,0.0406,0.1772,2857280,4871164,197821,1116529
SCG,2022,0,0.0044,0.0292,1742069,7505301,33281,1140105
SCG,2023,0,0.0030,0.0175,793598,6799012,20355,1161219
SCG,2024,0,0.0233,0.1455,2705065,8501550,197821,1359542
SCG,2025,0,0.0275,0.1920,6520581,11762359,323103,1682606
LDG,2015,0,0.0667,0.1540,519862,2314636,154319,1002117
LDG,2016,0,0.0566,0.1345,496560,2805536,158740,1180200
LDG,2017,0,0.0776,0.1412,663317,3645523,282894,2004008
LDG,2018,0,0.1239,0.2347,1718949,4869110,603154,2570233
LDG,2019,0,0.1031,0.1932,784580,5848491,603229,3123026
LDG,2020,1,0.0023,0.0042,1388440,5531704,12910,3104404
LDG,2021,1,0.0206,0.0434,321282,6841069,140653,3243923
LDG,2022,0,0.0005,0.0013,193172,7860785,4243,3241936
LDG,2023,0,-0.0726,-0.1942,-36509,7265457,-527174,2713917
LDG,2024,0,-0.2446,-1.2433,-173233,6157209,-1505752,1211097
LDG,2025,0,0.0115,0.0711,403021,8040290,92726,1303824
HDG,2015,0,0.0404,0.0945,1479927,3054981,123459,1306733
HDG,2016,0,0.0352,0.1284,1988494,6700316,235570,1834018
HDG,2017,0,0.0212,0.0856,2296976,8415503,178375,2084146
HDG,2018,0,0.0571,0.2354,3221442,11086580,633433,2690685
HDG,2019,0,0.0672,0.2840,4342517,13866321,931687,3280371
HDG,2020,1,0.0706,0.2462,4998578,13878648,979142,3977421
HDG,2021,1,0.0690,0.2034,3777436,15891544,1096498,5390330
HDG,2022,0,0.0725,0.1673,3581191,15104924,1095618,6548012
HDG,2023,0,0.0461,0.0920,2889384,14438352,665078,7228748
HDG,2024,0,0.0251,0.0472,2717613,13849363,348310,7375981
HDG,2025,0,0.0525,0.0917,2786540,14685890,770390,8398383
DLG,2015,0,0.0119,0.0376,1637715,6815607,81061,2156440
DLG,2016,0,0.0094,0.0247,2477282,7010968,65727,2658683
DLG,2017,0,0.0071,0.0177,2897509,8312491,59362,3351760
DLG,2018,0,0.0016,0.0041,2914292,8712258,14353,3482155
DLG,2019,0,-0.0009,-0.0022,2873263,8614513,-7459,3430054
DLG,2020,1,-0.1130,-0.3709,2034492,8230569,-929778,2506555
DLG,2021,1,0.0017,0.0051,1544442,7070349,11793,2318835
DLG,2022,0,-0.2133,-1.0795,1347872,5611846,-1197177,1109021
DLG,2023,0,-0.1146,-1.0971,1122334,5051949,-578740,527515
DLG,2024,0,0.0561,0.3246,1058722,4348369,244031,751873
DLG,2025,0,0.0990,0.4191,699,4215910,417197,995422
IDC,2015,0,0.0155,0.0688,4609292,13110842,203136,2952927
IDC,2016,0,0.0310,0.1103,4422688,12517744,388658,3524162
IDC,2017,0,0.0075,0.0282,4920866,14361473,107117,3798481
IDC,2018,0,0.0151,0.0499,4154513,13864800,208765,4183561
IDC,2019,0,0.0241,0.0814,4928746,14315622,344697,4232603
IDC,2020,1,0.0208,0.0694,4541856,14622957,304426,4389202
IDC,2021,1,0.0283,0.0904,4301236,16075835,454308,5028037
IDC,2022,0,0.1039,0.2884,7485390,17013411,1767507,6127923
IDC,2023,0,0.0786,0.2246,7237032,17720446,1393647,6204915
